X,Y,objectid,powerplant,unit,country,latitude,longitude,grosspower,netpowerin,type,reactorsup,reactormod,status,dateconstr,dateofcomm,dateofclos,operationa,owner,operators,imagesourc,link
35.8037269996283,45.3919369998523,616,Crimean,Crimean 3,Ukraine,45.391937,35.803727,0,0,Pressurized Water Reactor, ,VVER-1000,Never Built, , , , , , , ,https://en.wikipedia.org/wiki/List_of_nuclear_reactors#United_Kingdom
36.5697220000757,55.084166999783,617,Obninsk Nuclear Power Plant,Obninsk,Russia,55.084167,36.569722,6,5,Light Water Graphite Reactor, ,AM-1,Shut down,"Tuesday, January 01, 1951","Thursday, December 01, 1954","Tuesday, April 29, 2002", ,Rosatom State corporation,Energoatom,https://upload.wikimedia.org/wikipedia/commons/4/45/RIAN_archive_409173_World%27s_first_nuclear_power_plant_in_Obninsk.jpg,https://en.wikipedia.org/wiki/Obninsk_Nuclear_Power_Plant
22.1611109997016,54.9388890001121,618,Kaliningrad Nuclear Power Plant,Kaliningrad 2,Russia,54.938889,22.161111,1194,1109,Pressurized Water Reactor,Atomenergoprom,VVER V-491,Planned, , , , ,Rosenergoatom,Rosenergoatom, , 
39.200000000033,51.2750000001481,619,Novovoronezh Nuclear Power Plant,Novovoronezh 5,Russia,51.275,39.2,1000,950,Pressurized Water Reactor, ,VVER V-187,Operational,"Saturday, March 01, 1974","Saturday, February 20, 1981", , , ,Energoatom,https://upload.wikimedia.org/wikipedia/commons/2/2d/RIAN_archive_342604_The_Novovoronezh_nuclear_power_plant.jpg,https://en.wikipedia.org/wiki/Novovoronezh_Nuclear_Power_Plant
21.4408333301882,61.2369444398216,620,Olkiluoto,Olkiluoto 2,Finland,61.236944,21.440833,890,0,Boiling Water Reactor,ASEA Atom,Stal-Laval,Operational,1973,"Thursday, October 10, 1979", , ,Teollisuuden Voima Oy, ,https://upload.wikimedia.org/wikipedia/commons/f/f5/Olkiluoto_Nuclear_Power_Plant_2015-07-21_001_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Olkiluoto_Nuclear_Power_Plant
25.8916669997394,51.3277780002303,621,Rivne,Rivne 2,Ukraine,51.327778,25.891667,415,376,Pressurized Water Reactor,Atomstroyexport,VVER  V-213,Operational,"October 1, 1973","July 29, 1982", , ,Energoatom,Energoatom,https://upload.wikimedia.org/wikipedia/commons/8/84/%D0%A0%D0%90%D0%AD%D0%A1._%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D0%B0.JPG,https://en.wikipedia.org/wiki/Rivne_Nuclear_Power_Plant
26.0891666697732,54.7611111099204,622,Ostrovets,Ostrovets 1,Belarus,54.761111,26.089167,1109,1194,Pressurized Water Reactor,Atomstroyexport,VVER V-491,Under construction,"Thursday, November 06, 2013",2019, , , , ,https://upload.wikimedia.org/wikipedia/commons/2/27/%D0%A3%D0%B7%D0%B2%D1%8F%D0%B4%D0%B7%D0%B5%D0%BD%D0%BD%D0%B5_%D0%91%D0%B5%D0%BB%D0%B0%D1%80%D1%83%D1%81%D0%BA%D0%B0%D0%B9_%D0%90%D0%AD%D0%A1_%282015%29_%2802%29.jpg,https://en.wikipedia.org/wiki/Belarusian_nuclear_power_plant
23.7705555598884,43.7461111097556,623,Kozloduy ,Kozloduy 2,Bulgaria,43.746111,23.770556,440,0,Pressurized Water Reactor, , ,Shut Down,1970,1975,2004, ,Bulgarian Energy Holding EAD, ,https://upload.wikimedia.org/wikipedia/commons/4/4c/NPP_Kozloduy_5-6.jpg,https://en.wikipedia.org/wiki/Kozloduy_Nuclear_Power_Plant
32.7852799998662,49.0847200001007,624,Chyhyryn,Chyhyryn 2,Ukraine,49.08472,32.78528,1000,0,Pressurized Water Reactor, ,VVER-1000,Unfinished,1977, ,"Sunday, May 20, 1989", , , ,https://upload.wikimedia.org/wikipedia/commons/2/26/%D0%A7%D0%90%D0%AD%D0%A1..jpg,https://en.wikipedia.org/wiki/Chyhyryn_Nuclear_Power_Plant
26.5600000002754,55.6044439997994,625,Ignalina,Ignalina 2,Lithuania,55.604444,26.56,1300,1185,Light Water Graphite Reactor,Mintyazhmash,RBMK-1500,Shut down,"Monday, January 01, 1978","Wednesday, December 01, 1987","Friday, December 31, 2009", , ,Ignalinos Atominė Elektrinė,https://upload.wikimedia.org/wikipedia/commons/4/49/Elektrownia_Ignalina.jpg,https://en.wikipedia.org/wiki/Ignalina_Nuclear_Power_Plant
29.043610999839,59.8472219998766,626,Leningrad Nuclear Power Plant,Leningrad 3,Russia,59.847222,29.043611,1000,925,Light Water Graphite Reactor,Atomstroyexport,RBMK-1000,Operational,"Sunday, December 01, 1973","Monday, June 29, 1980", , ,Rosenergoatom,Rosenergoatom,https://upload.wikimedia.org/wikipedia/commons/5/53/RIAN_archive_305005_Leningrad_nuclear_power_plant.jpg,https://en.wikipedia.org/wiki/Leningrad_Nuclear_Power_Plant
33.2466359999163,54.1691609999557,627,Smolensk Nuclear Power Plant,Smolensk 2,Russia,54.169161,33.246636,1000,925,Light Water Graphite Reactor, ,RBMK-1000,Operational,"Wednesday, June 01, 1976","Wednesday, July 02, 1985", , , ,Rosenergoatom,https://upload.wikimedia.org/wikipedia/commons/3/36/Smolensk_Nuclear_Power_Plant.jpg,https://en.wikipedia.org/wiki/Smolensk_Nuclear_Power_Plant
21.4408333301882,61.2369444398216,628,Olkiluoto,Olkiluoto 1,Finland,61.236944,21.440833,880,0,Boiling Water Reactor,ASEA Atom,Stal-Laval,Operational,1973,"Thursday, October 10, 1979", , ,Teollisuuden Voima Oy, ,https://upload.wikimedia.org/wikipedia/commons/f/f5/Olkiluoto_Nuclear_Power_Plant_2015-07-21_001_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Olkiluoto_Nuclear_Power_Plant
